#简词
喜欢	b
螬	bwj
裼	tgj
婧	fkl
罱	qjx
砹	ddp
朊	lfj
癔	kqk
褰	xpm
篁	nlj
眇	krf
砜	ddw
獍	wjk
煺	nmv
锍	myq
跶	tkw
惇	cjj
柒	glv
叻	smv
蜱	bjx
鲣	hgr
哚	swv
癀	kqp
硁	ddm
悝	cxv
柰	vld
郤	mms
徂	xkj
烔	nxf
茛	pmw
柝	vvd
昉	jdm
袪	tgr
幞	qnw
刬	fkg
铖	mkh
砵	ddv
洧	gvl
丏	hkh
眄	krh
疔	kqh
刳	wkf
卬	sbn
旰	jdp
瘌	kqv
郄	dvq
魆	jkh
泺	gsf
洸	gfj
眭	krr
掊	dks
畬	mfv
淯	gyq
鳀	hgj
媄	fkw
屺	ydg
瘕	kqn
茀	phb
泐	gtm
鬒	vsx
浍	gmk
熇	njw
蓰	pxd
鸼	sky
叇	knq
穜	dlk
徛	xwh
漶	gss
唝	sxg
昪	jdq
呙	sxm
磻	ddh
皦	lsl
珖	jfj
奓	wkd
稃	dlf
庼	lwb
狝	wjh
溦	gyf
炟	njf
𬘭	kvv
觱	kjf
𫟼	mwv
棓	vks
稌	dlm
椓	vkd
䓫	pwh
𪣻	rnf
䂮	ggd
竫	kvh
珫	jyq
皕	cjc
韨	qjh
嵁	ydr
疭	kqm
稙	dlx
簝	nwb
烻	nhd
䁖	krn
戣	gfw
㳚	gkd
剅	fsb
㛹	fwf
袗	tgm
筤	ndm
𫶇	ydp
𠳐	sgt
鄀	pvs
𬊤	nbj
𧿹	tkf
㟃	ydh
堨	rjn
𬜯	pfx
𬶋	hgn
屼	ydj
峧	ydy
爚	ntn
鄌	lwt
滫	gwr
𫘨	lrj
烠	nvl
綄	txf
兗	yms
羣	tnh
陘	tfy
閿	mrf
弔	hwr
紡	tmw
寀	xfv
碔	ddf
顳	sns
峯	ydl
絳	tlq
滾	gym
東	vjd
唄	sys
晝	tnr
縴	tyq
醬	klh
廩	lwy
瘲	kqx
營	nnh
競	kvs
斷	qgq
釙	qcn
綾	trm
頊	jrg
璽	fmq
靨	cjl
簦	ngf
荊	pfp
撚	dlw
嚇	srb
凊	knk
鯷	xgj
喚	shw
㑳	wny
麩	vvl
閭	mrs
棗	vxv
蔄	pms
汎	gwd
秈	dly
鸑	wjy
勸	pss
灘	gpf
黌	ndd
縊	tbm
嶗	ydn
賕	ysf
躪	tkp
彆	bqm
濤	grh
壘	vmv
盞	kwk
衹	tgs
殤	fdn
橢	vtv
顰	dkf
漊	gsx
襪	tgp
韍	sjs
浛	gmd
屌	nds
㛆	fmv
綞	txp
漵	gmf
磣	ddq
褌	tgh
殲	fdm
嵐	ydw
穡	dlr
綧	tjj
疇	vmr
觴	hfn
鮈	xgn
贅	knl
鄆	hbt
躊	tkr
躑	tkb
嶍	yds
蹌	tkm
烶	ngy
騏	crr
綫	tkk
葤	pth
鰂	xgy
瘮	kqq
鼕	bkx
玁	wjs
巹	hgf
糝	nrq
薘	prk
戇	kvd
㞞	ndx
燀	nss
鋶	qyq
璗	gjf
熗	nmd
蘗	pns
滙	gtc
隄	tjf
襚	tgb
囅	ssj
黲	qlq
鞿	dwq
聹	snx
馹	crj
鍀	qjf
鉞	qkh
𣈶	jdc
熻	nts
瑲	jmd
釩	qwd
穇	dlq
勱	pxm
#上屏简
不	u
是	i
我	o
的	e
了	a
#二简
总	ba
前	be
尊	bu
情	ce
离	ci
这	co
怪	cu
些	de
此	di
和	do
为	du
海	go
没	gu
过	ho
那	hu
问	jo
意	ka
眼	ki
着	ko
部	ku
神	lo
骗	lu
会	mi
通	mo
坐	mu
怎	na
年	ne
算	ni
花	pi
落	po
对	pu
向	qa
置	qo
场	ra
地	re
声	ro
嗯	sa
听	se
哪	su
被	ta
因	te
随	to
困	tu
有	ve
近	vo
做	we
但	wi
们	wo
太	wu
☯	wu
真	xa
定	xe
得	xu
旁	yo
都	yu
#三简
蟪	bba
蜷	bbe
蟲	bbo
蝙	bbu
惠	bca
輸	bce
較	bci
輕	bco
蛀	bda
飯	bde
颖	bdu
师	bfe
蚖	bfo
螳	bfu
蟤	bga
雅	bgi
鸦	bgo
弟	bhe
递	bho
蛛	bja
奠	bje
单	bji
遵	bjo
鄭	bju
彭	bka
兰	bke
養	bki
喜	bko
豹	bku
首	ble
扇	bli
道	blo
導	blu
蚡	bma
蛻	bme
蚣	bmi
益	bmo
顷	bmu
蝴	bne
卫	bni
蚱	bno
蝼	bnu
蟥	bpa
蟆	bpe
瓶	bpo
蝾	bpu
慈	bqa
半	bqe
弊	bqi
瞥	bqo
兹	bqu
蜞	bre
蟯	bro
蛙	bru
兑	bse
蟬	bsi
螻	bsu
兼	bta
归	bte
蛔	bto
蝈	btu
兾	bva
蜥	bve
螺	bvi
兽	bvo
蟟	bwa
关	bwe
普	bwi
送	bwo
郑	bwu
螾	bxa
疑	bxe
蛇	bxi
蚺	bxu
愬	bya
朔	bye
蛟	byi
逆	byo
塑	byu
慊	cba
悦	cbe
憎	cbi
慩	cbo
厊	cbu
恼	cca
雙	cce
唇	cco
忭	cda
歷	cde
曆	cdi
枼	cdu
厉	cfa
惯	cfi
悟	cfo
厨	cfu
憕	cga
厕	cge
怋	cgi
怊	cgo
顾	cgu
慏	cha
厅	che
懈	cho
忖	chu
惊	cja
刘	cje
壓	cju
快	cke
怀	cki
奡	cko
厍	cku
原	cla
憂	cle
怕	cli
忙	clo
願	clu
惗	cma
恨	cmi
怜	cmo
忣	cmu
懦	cne
点	cni
餐	cno
桌	cnu
怦	cpa
懂	cpi
懵	cpo
厲	cpu
惨	cqa
懊	cqe
怮	cqi
愣	cqo
慳	cqu
驗	cra
厮	cre
怯	cri
压	cru
悒	csa
愕	cse
忡	csi
忸	csu
恰	cta
愜	cte
怄	cti
慍	cto
悃	ctu
鹼	cva
怖	cve
懒	cvi
厣	cwe
雁	cwi
靥	cwo
恘	cwu
慎	cxa
惋	cxe
惘	cxo
悽	cxu
愷	cya
惱	cyi
懷	cyo
忧	cyu
护	dba
报	dbe
指	dbi
搤	dbo
掷	dbu
掉	dca
撅	dce
挤	dco
破	dda
扯	dde
碰	ddu
挡	dfe
掙	dfi
採	dfu
撰	dga
揆	dge
招	dgo
撥	dgu
打	dhe
括	dho
挥	dhu
担	dji
紫	dki
名	dko
接	dku
利	dle
种	dli
秀	dlo
委	dlu
抢	dme
良	dmi
扔	dmo
郎	dmu
掘	dna
据	dni
抱	dno
杂	dnu
搭	dpa
摸	dpe
措	dpi
搔	dpo
抽	dpu
掺	dqa
攬	dqe
摆	dqi
抬	dqo
掛	dra
撕	dre
掳	dri
持	dru
披	dsa
抑	dse
损	dsi
操	dsu
扫	dte
抠	dti
拒	dto
捆	dtu
希	dve
摞	dvi
掩	dwa
鞘	dwe
鞠	dwo
摈	dxa
技	dxe
挖	dxi
按	dxu
抗	dye
摔	dyi
捣	dyo
扰	dyu
嫌	fba
娣	fbe
婵	fbi
嬉	fbo
媥	fbu
婥	fca
亏	fce
焉	fci
媽	fco
鄢	fcu
殊	fda
常	fde
死	fdi
堂	fdu
婳	ffa
妙	ffe
嫣	ffi
姆	ffo
姟	fga
救	fge
妊	fgi
裘	fgo
求	fgu
妳	fha
娥	fhi
娜	fhu
惡	fja
好	fje
更	fji
耀	fki
光	fko
尘	fku
媳	fla
武	fle
亙	fli
妈	flo
举	fme
爾	fmi
奶	fmo
嫻	fmu
姑	fni
形	fpa
驽	fpo
型	fpu
姠	fqa
奚	fqe
始	fqo
爵	fqu
娡	fra
毑	fre
繇	fri
娃	fru
豆	fsa
副	fse
婚	fsi
頭	fsu
嫕	fta
妇	fte
爭	fti
婀	fto
嫩	fve
嫘	fvi
恶	fwa
天	fwe
吞	fwo
亚	fwu
嫔	fxa
两	fxe
贯	fxi
嫁	fxo
再	fxu
娏	fya
姥	fyi
州	fyu
淚	gba
漸	gbe
潽	gbi
滋	gbu
源	gca
泌	gce
济	gco
涯	gcu
注	gda
汽	gde
登	gfa
消	gfe
浅	gfi
淌	gfo
慧	gga
测	gge
溅	ggi
沼	ggo
艳	gha
泛	ghi
活	gho
深	ghu
洗	gje
混	gji
温	gjo
酒	gju
浃	gka
潜	gki
泪	gko
洋	gku
渡	gle
泊	gli
洛	glo
瀛	glu
游	gme
沦	gmi
涌	gmo
涂	gmu
忌	gna
泥	gni
淡	gno
漏	gnu
洪	gpa
汗	gpi
港	gpo
油	gpu
渗	gqa
澳	gqe
治	gqo
滤	gra
淇	gre
法	gri
洁	gro
洼	gru
则	gse
婆	gsu
洽	gta
帮	gte
潛	gti
汇	gto
浜	gva
漱	gve
漆	gvi
湘	gvo
淹	gwa
洢	gwe
漕	gwi
沿	gwo
演	gxa
潮	gxe
漁	gxu
潭	gya
流	gye
滚	gyo
液	gyu
谦	hba
说	hbe
乎	hbo
讶	hbu
詹	hca
危	hce
鹤	hco
辞	hda
以	hde
乱	hdi
尔	hfa
该	hga
记	hge
负	hgi
承	hgo
谵	hha
讯	hhi
话	hho
书	hhu
冥	hja
谆	hje
谒	hji
诽	hjo
课	hju
谚	hka
诚	hki
可	hko
军	hku
试	hlo
诊	hma
论	hmi
访	hmo
须	hmu
悉	hna
释	hne
许	hni
谈	hno
鄱	hnu
译	hpe
诺	hpo
谋	hpu
币	hqe
血	hqo
衊	hqu
谑	hre
装	hro
诗	hru
识	hsa
事	hse
勉	hsi
象	hso
兔	hsu
急	hta
刍	hte
邹	htu
谓	hve
诙	hvo
诉	hvu
弱	hwe
强	hwo
谳	hxa
读	hxe
谭	hya
谛	hye
诸	hyi
讪	hyo
训	hyu
严	jba
瑐	jbe
玭	jbi
璉	jbo
琊	jbu
斑	jca
珌	jce
璃	jci
瑪	jco
影	jda
晚	jde
晓	jdo
京	jfa
现	jfe
琐	jfi
玩	jfo
就	jfu
酥	jga
醒	jge
醉	jgi
酷	jgo
瑀	jha
務	jhi
豫	jho
柔	jhu
珠	jja
郭	jju
孩	jka
环	jki
逃	jko
琢	jku
瑝	jla
珀	jli
玛	jlo
珍	jma
瑜	jme
珢	jmi
玲	jmo
预	jmu
珊	jni
琰	jno
玓	jnu
璜	jpa
現	jpe
襄	jpo
瑹	jpu
物	jqa
制	jqe
特	jqu
闷	jra
闪	jre
间	jri
闲	jru
玻	jsa
珥	jse
璝	jsi
郜	jsu
璛	jti
璕	jtu
凾	jva
鬿	jve
辽	jvo
琳	jvu
悲	jwa
亮	jwe
辈	jwu
瑸	jxa
琬	jxe
琮	jxo
珩	jxu
瑞	jye
璀	jyi
瓌	jyo
玹	jyu
缣	kba
绊	kbe
纰	kbi
缢	kbo
编	kbu
绰	kca
软	kce
轻	kco
饷	kda
饭	kde
饿	kdi
馅	kdu
懸	kfa
缓	kfe
线	kfi
毒	kfo
恙	kga
美	kge
责	kgi
善	kgo
绝	kha
響	khi
饗	kho
鄉	khu
感	kja
成	kji
组	kke
丝	kki
辣	kko
舂	kku
练	kla
静	kli
绕	klo
將	klu
纵	kme
绘	kmi
经	kmo
级	kmu
动	kni
进	kno
专	knu
缀	kpe
绅	kpo
疲	kqa
病	kqe
疯	kqi
痛	kqo
痒	kqu
瞪	kra
睛	kre
眩	kru
织	ksa
歪	kse
还	kso
纽	ksu
给	kta
章	kva
新	kve
站	kvo
亲	kvu
划	kwe
颊	kwu
缤	kxa
续	kxe
缩	kxi
绗	kxu
绌	kya
统	kye
绪	kyi
缥	kyo
膨	lba
服	lbe
勝	lbi
腾	lbo
塍	lbu
脑	lca
臇	lce
膲	lci
脐	lco
脤	lcu
禮	lda
福	lde
礼	ldi
社	ldu
东	lfa
叔	lfe
膈	lfi
督	lfo
膛	lfu
刖	lge
贰	lgi
式	lgo
肠	lha
脆	lhe
尧	lho
肘	lhu
望	lja
腥	lje
胆	lji
妄	lju
处	lka
务	lki
各	lko
条	lku
肫	lla
腻	lli
鹏	llo
脏	llu
脸	lma
腳	lme
肋	lmi
腿	lmo
脞	lmu
胸	lna
腹	lne
肐	lni
膜	lpe
腊	lpi
朦	lpo
腜	lpu
朘	lqe
膍	lqi
胎	lqo
验	lra
脚	lre
驶	lri
皇	lsa
兜	lse
迫	lso
樂	lsu
胭	lte
腱	lti
腘	ltu
赢	lvi
蠃	lvo
嬴	lvu
应	lwa
度	lwe
腆	lxa
脖	lxe
腫	lxi
胺	lxu
腦	lyi
膀	lyo
顿	lyu
锐	mbe
铘	mbu
钋	mca
兮	mce
钻	mco
念	mda
爷	mde
领	mdu
愈	mfa
命	mfe
钱	mfi
余	mfu
创	mge
贫	mgi
盆	mgo
铯	mha
钉	mhe
铮	mhi
铁	mho
舒	mhu
铣	mje
镐	mji
镶	mjo
钰	mju
锌	mka
锄	mki
链	mko
郐	mku
钝	mla
铂	mli
佘	mlo
镍	mlu
慾	mma
银	mmi
谷	mmo
锉	mmu
锪	mna
钧	mne
钩	mni
锔	mno
钓	mnu
钳	mpe
错	mpi
铓	mpo
钗	mpu
锣	mqa
孕	mqe
悶	mra
聞	mre
铿	mru
锃	msa
锅	mse
钟	msi
铝	mso
钮	msu
铪	mta
钦	mte
键	mti
钜	mto
脅	mve
边	mvo
架	mvu
恳	mwa
放	mwe
锻	mwu
镇	mxa
锭	mxe
颈	mxu
镡	mya
铠	mye
镝	myi
镖	myo
钏	myu
炉	nba
箭	nbe
煽	nbi
篇	nbu
與	nca
舉	nce
篱	nci
属	nda
尽	nde
居	ndi
敏	nfe
繁	nfi
每	nfo
爝	nfu
電	nga
雪	nge
雾	ngi
露	ngo
第	nhe
迄	nho
匆	nhu
焖	nja
简	nji
燏	njo
郇	nju
舆	nka
竺	nke
笠	nki
籠	nko
烊	nku
炼	nla
烽	nle
燃	nli
烧	nlo
爍	nlu
签	nma
簡	nmi
簇	nmo
烦	nmu
笏	nna
删	nne
册	nni
榮	nnu
烘	npa
舞	npe
無	npi
箬	npo
笛	npu
箩	nqa
燠	nqe
籃	nqo
粉	nra
数	nre
料	nri
够	nsa
熘	nse
熠	nsi
燥	nsu
烟	nte
簪	nti
籲	ntu
策	nve
箱	nvo
笑	nvu
辜	nwa
克	nwe
笔	nwo
符	nwu
興	nxa
筮	nxe
管	nxo
毁	nxu
雛	nyi
煙	nyu
芦	pba
节	pbe
荜	pbi
芽	pbu
蕊	pca
蕨	pce
芠	pco
葉	pcu
莉	pde
荳	pfa
观	pfe
莱	pfo
菜	pfu
荡	pga
范	pge
藉	pgi
迪	pgo
营	pho
荣	phu
茱	pja
莫	pje
葛	pji
慕	pju
黃	pka
藏	pke
戏	pki
莲	pko
药	pku
薛	pla
散	ple
藤	pli
芒	plo
藥	plu
苍	pme
劝	pmi
芳	pmo
茶	pmu
警	pna
苦	pni
驚	pno
葡	pnu
黄	ppa
華	ppi
鷬	ppo
桑	ppu
夢	pqa
芈	pqe
藍	pqo
藘	pra
菱	pre
藝	pri
蓝	pro
蓼	psa
觀	pse
勸	psi
莒	pso
颧	psu
萧	pta
欢	pte
蕭	pti
蘊	pto
苗	pve
若	pvo
茬	pvu
平	pwa
刊	pwe
荷	pwo
苻	pwu
蘇	pxa
英	pxe
董	pxi
蓉	pxo
萬	pxu
茁	pya
蒂	pye
鸡	pyo
蘡	pyu
鎌	qba
鎙	qbe
鈚	qbi
鏈	qbo
鐏	qbu
卧	qca
鐫	qce
鉆	qco
鎒	qcu
鉌	qda
釚	qde
銘	qdo
鎩	qdu
鐚	qfa
銷	qfe
鎖	qfi
鋙	qfo
鏜	qfu
鐙	qga
幾	qge
幻	qgi
鴢	qgo
鉨	qha
奧	qhe
鈣	qhi
鏹	qho
囪	qhu
击	qja
罢	qji
罪	qjo
韧	qju
鏡	qke
錢	qki
錶	qko
鏘	qku
錦	qle
能	qli
點	qlo
墨	qlu
銓	qma
銀	qmi
鈴	qmo
颐	qmu
帜	qna
帕	qni
帽	qno
帐	qnu
豎	qpa
腎	qpe
鋩	qpo
堅	qpu
參	qqa
鐭	qqe
鑫	qqi
鑑	qqo
鋕	qra
鍖	qri
鑄	qru
鋘	qse
錄	qsi
鈕	qsu
欽	qte
鍵	qti
鉅	qto
鑰	qtu
鍊	qva
釿	qve
錬	qvi
鈸	qvu
参	qwa
畚	qwe
銕	qwi
鉛	qwo
鍛	qwu
鐵	qxa
欸	qxe
矣	qxo
銨	qxu
鎧	qya
銬	qye
鉸	qyi
鏢	qyo
釧	qyu
赤	rba
赦	rbe
增	rbi
螫	rbo
郝	rbu
志	rca
壢	rce
盐	rco
堞	rcu
埗	rda
址	rde
坧	rdo
毐	rfe
凸	rfi
圩	rfo
垭	rfu
垓	rga
圮	rge
坝	rgi
圯	rgo
懿	rha
燾	rhi
坷	rho
寺	rhu
場	rja
壤	rjo
基	rju
埧	rka
块	rke
城	rki
執	rku
處	rle
戲	rli
塘	rlo
虚	rlu
埝	rma
熱	rmi
坊	rmo
圾	rmu
堀	rna
临	rni
监	rno
耐	rnu
塔	rpa
肾	rpe
紧	rpi
坤	rpo
坚	rpu
垧	rqa
却	rqe
埃	rqo
卦	rra
幫	rre
堪	rri
坡	rsa
臺	rse
埙	rsi
颉	rsu
坎	rte
堌	rti
壗	rto
堰	rtu
圻	rve
坵	rvi
堺	rvo
坼	rvu
罈	rwa
缺	rwe
罐	rwi
垛	rwu
填	rxa
圲	rxe
埋	rxi
墙	rxo
堣	rxu
壈	rya
坑	rye
堵	ryi
壞	ryo
圳	ryu
嘭	sba
叩	sbe
呀	sbu
號	sca
号	sce
嗎	sco
哆	sda
啃	sde
啷	sdu
乐	sfa
吴	sfe
哽	sfi
吁	sfo
哑	sfu
变	sge
员	sgi
迹	sgo
哦	shi
呼	sho
吋	shu
喝	sji
啡	sjo
韌	sju
噫	ska
艇	ski
看	sko
般	sku
嗅	sla
咱	sle
吗	slo
邸	slu
别	sme
另	smi
啥	smo
吸	smu
呢	sni
聊	sno
颇	snu
哄	spa
哎	spi
呻	spo
嗓	spu
响	sqa
吊	sqe
呦	sqi
忠	sra
留	sre
哭	ssa
咒	sse
噪	ssu
哈	sta
吹	ste
呕	sti
啊	sto
喲	stu
喇	sve
喳	svi
叽	swe
喉	swo
咐	swu
嗔	sxa
呐	sxe
喃	sxo
鄙	sxu
喘	sye
嘛	syo
縑	tba
絆	tbe
階	tbi
隊	tbo
陛	tbu
綽	tca
阨	tce
紋	tco
縟	tcu
陟	tda
阯	tde
緙	tdi
骘	tdo
紈	tdu
隙	tfa
緩	tfe
隔	tfi
經	tfo
綵	tfu
初	tga
紀	tge
裡	tgi
裙	tgo
裤	tgu
隐	tha
繩	the
紖	thi
阿	tho
陷	thu
恩	tja
回	tjo
国	tju
踢	tka
跟	tki
路	tko
阵	tku
線	tli
拿	tlo
纏	tlu
险	tma
限	tmi
阶	tmo
除	tmu
肃	tna
尹	tne
建	tni
灵	tno
群	tnu
綴	tpe
紳	tpo
経	tpu
陆	tqa
纜	tqe
繼	tqi
繹	tqo
縛	tqu
陵	tre
續	tri
結	tro
陸	tru
繆	tsa
緝	tse
綠	tsi
緣	tso
紐	tsu
歛	tte
鷥	tto
綑	ttu
練	tva
細	tve
陳	tvi
堕	tvu
匡	twa
欧	twe
区	twi
医	two
附	twu
縯	txa
納	txe
縮	txi
隅	txu
絀	tya
統	tye
緒	tyi
縴	tyo
棙	vba
梯	vbe
楷	vbi
槤	vbo
樹	vbu
朴	vca
肆	vce
栌	vco
柱	vda
樊	vde
躯	vdi
杤	vfa
柄	vfe
梧	vfo
桠	vfu
核	vga
杞	vge
梃	vgi
乔	vgo
材	vhe
柯	vho
村	vhu
李	vje
橘	vjo
想	vka
越	vki
相	vko
在	vku
所	vle
柏	vli
格	vlo
桩	vlu
思	vma
男	vmi
界	vmo
极	vmu
兵	vna
杰	vni
梅	vno
楼	vnu
横	vpa
權	vpi
檬	vpo
树	vpu
椤	vqa
機	vqe
柪	vqi
楞	vqo
樫	vqu
鬱	vra
棋	vre
椹	vri
槛	vro
鬓	vsa
整	vse
赖	vsi
樓	vsu
椭	vte
柜	vto
柩	vtu
楚	vve
桥	vvo
栿	vwa
机	vwe
枫	vwi
椅	vwo
椴	vwu
槟	vxa
刺	vxe
檳	vxi
棲	vxu
梔	vya
板	vye
標	vyo
櫻	vyu
傔	wba
伴	wbe
僖	wbo
偏	wbu
仆	wca
優	wce
侦	wci
佔	wco
侲	wcu
住	wda
仇	wde
仪	wdi
偽	wdo
伪	wdu
儻	wfa
倒	wfe
便	wfi
俅	wfu
業	wga
凭	wge
任	wgi
傺	wgo
你	wha
像	who
付	whu
狂	wja
件	wjo
犹	wju
态	wka
位	wki
奇	wko
传	wku
黛	wla
佟	wle
伯	wli
袋	wlo
代	wlu
份	wma
偷	wme
伦	wmi
价	wmo
段	wmu
傷	wna
风	wni
凡	wnu
供	wpa
借	wpi
伸	wpo
伷	wpu
傯	wqa
傻	wqe
伟	wqi
俟	wqo
傅	wqu
修	wra
攸	wre
佳	wru
僇	wsa
仰	wse
仲	wsi
侣	wso
保	wsu
伊	wte
健	wti
儘	wto
偃	wtu
偲	wva
佈	wve
体	wvi
佐	wvo
佩	wwe
飙	wwi
儂	wwu
傧	wxa
伎	wxe
值	wxo
偶	wxu
側	wye
佬	wyi
依	wyo
优	wyu
徶	xbe
丧	xbo
徧	xbu
寡	xca
巧	xce
寜	xci
密	xco
宸	xcu
往	xda
朝	xde
韩	xdi
矮	xdu
徵	xfa
