#分号快符
q;	：“
qm_	敷衍
qn_	帽子
qp_	卧薪尝胆
qq_	默默无闻
qr_	奥斯卡
qs_	台词
qt_	黑匣子
qv_	黑木耳
qw_	参加
qx_	金字塔
qy_	能者多劳
rb_	增加
rc_	志气
rd_	紧接着
rf_	彪形大汉
rg_	耍流氓
rh_	地方
rj_	基本
rk_	城市
rl_	虚拟
rm_	虚伪
rn_	而且
rp_	紧张
rq_	劫数
rr_	面对
rs_	吉利
rt_	坎坷
rv_	临界点
rw_	垮掉
rx_	埋怨
ry_	堵车
sb_	虽然
sc_	唯一
sd_	看到
sf_	印象
sg_	变成
sh_	哪里
sj_	兄弟
sk_	吃不消
sl_	咱们
sm_	叭
sn_	吃饭
sp_	哎呀
sq_	嘿嘿
sr_	中文
ss_	品味
st_	吹牛
sv_	邑
sw_	骨头
sx_	唾沫
sy_	咬牙
tb_	隧道
tc_	陌生
td_	除此之外
tf_	隔壁
tg_	补偿
th_	阿姨
tj_	回家
tk_	路上
tl_	合适
tm_	除了
tn_	灵感
tp_	医药费
tq_	陆续
tr_	随声附和
ts_	拿手好戏
tt_	跃跃欲试
tv_	随便
tw_	医院
tx_	院子
ty_	跑龙套
vb_	栏杆
vc_	橱窗
vd_	身体
vf_	本来
vg_	有没有
vh_	材料
vj_	橘子
vk_	越来越
vl_	标准
vm_	根本
vn_	楼梯
vp_	模式
vq_	超能力
vr_	棋子
vs_	杏
vt_	柜子
vv_	梦想
vw_	机会
vx_	刺激
vy_	板凳
wb_	化妆
wc_	侦探
wd_	住院
wf_	便宜
wg_	任何
wh_	他们
wj_	但是
wk_	大家
wl_	代价
wm_	价值
wn_	作者
wp_	仅仅
wq_	傻眼
wr_	毛病
ws_	保姆
wt_	健康
wv_	休息
ww_	佩服
wx_	值得
wy_	信息
xb_	它们
xc_	密码
xd_	往往
xf_	完全
xg_	遇到
xh_	寝室
xj_	重要
xk_	空间
xl_	客厅
xm_	很好
xn_	刚才
xp_	支付
xq_	攻击力
xr_	待遇
xs_	彼此
xt_	律师
xv_	里面
xw_	恐怖
xx_	行业
xy_	循环
yb_	商场
yc_	出来
yd_	崩溃
yf_	后台
yg_	酸痛
yh_	老司机
yj_	乌鸦
yk_	老头儿
yl_	收获
ym_	效果
yn_	老年人
yp_	发现
yq_	充电
yr_	麻烦
ys_	老中医
yt_	衣服
yv_	老师
yw_	夜宵
yx_	质量
yy_	老老实实
bjn_	蜴
bjx_	蜱
bwj_	螬
byv_	遒
cgg_	恻
cjf_	怛
cjj_	惇
cmt_	厩
cpj_	厝
ddc_	砺
ddf_	碔
ddj_	碣
ddk_	碚
ddp_	砹
ddr_	砝
ddw_	砜
dkb_	砦
dkm_	龈
dkq_	舛
dks_	掊
dlk_	穜
dlm_	稌
dnj_	旮
fdg_	烮
fjf_	亘
fjk_	孚
fkl_	婧
fkw_	媄
fxr_	姌
gds_	洺
gjd_	汨
gkc_	濉
glv_	柒
hgj_	鳀
hgr_	鲣
hkd_	诼
hwn_	冗
hwr_	弔
jcy_	魑
jdf_	暧
jdh_	晖
jdj_	晾
jdn_	曷
jdp_	旰
jdv_	杲
jdx_	晏
jfj_	珖
jjb_	琨
jjj_	瓒
jkh_	魆
jmg_	顼
kcp_	辍
kdh_	馋
knh_	纥
knq_	叇
kqj_	痫
kqk_	癔
kqp_	癀
kqt_	痼
kqv_	瘌
krf_	眇
krh_	眄
kvh_	竫
kvs_	競
kvv_	𬘭
lfj_	朊
lkv_	臬
lwy_	廩
mfv_	畬
mgg_	铡
mms_	郤
mvs_	迦
mwd_	钒
mwn_	旃
myq_	锍
nbn_	煸
nds_	檗
ngs_	炤
nhv_	迤
nkn_	竺
nlj_	篁
nmv_	煺
nnc_	笮
nrj_	糅
nrl_	粕
pfn_	苋
ptj_	芡
pww_	茯
pyq_	茑
qjx_	罱
qjy_	詈
qnw_	幞
rqm_	坳
sgs_	呗
smv_	叻
snn_	啖
swv_	哚
sxm_	呙
tgj_	裼
tkj_	踝
tkl_	踮
tkw_	跶
tlq_	絳
tmw_	紡
tnc_	綯
tnh_	羣
vjs_	榈
vkd_	椓
vks_	棓
vkx_	槎
vld_	柰
vml_	畧
vnd_	杓
wjj_	猓
wjk_	獍
wjx_	狩
xgx_	愆
xkj_	徂
xpm_	褰
xwh_	徛
ydf_	崃
ydl_	峯
ydr_	嵁
ygh_	酏
ygj_	酰
ygl_	醣
ygp_	醛
#韵码简
a	了
e	的
i	是
o	我
u	不
#二简
ba	总
be	前
ce	情
ci	离
co	这
cu	怪
de	些
di	此
do	和
du	为
go	知
gu	没
ho	过
hu	那
jo	问
ka	意
ke	头
ki	眼
ko	着
ku	部
lo	神
lu	骗
mi	会
mo	通
mu	坐
na	怎
ne	年
ni	算
pi	花
po	落
pu	对
qa	卧
qo	置
ra	场
re	却
ro	声
sa	嗯
se	听
su	看
ta	被
te	因
to	随
tu	国
ve	有
vo	近
we	做
wi	但
wo	作
wu	太
xa	真
xe	定
xu	得
yo	旁
yu	都
#三简
bba	蟪
bbe	蜷
bbo	蟲
bbu	蝙
bca	惠
bce	輸
bci	較
bco	輕
bda	蛀
bde	飯
bdu	颖
bfe	师
bfu	螳
bgi	雅
bgo	鸦
bhe	弟
bho	递
bja	蛛
bji	单
bju	郸
bka	彭
bke	兰
bki	養
bko	喜
bku	豹
ble	首
bli	扇
blo	道
blu	導
bmi	蚣
bmo	益
bmu	顷
bne	蝴
bni	卫
bno	蚱
bpa	蟥
bpe	蟆
bpo	瓶
bqa	慈
bqe	半
bqi	弊
bqo	瞥
bqu	兹
bru	蛙
bsa	蝇
bse	兑
bsi	蟬
bta	兼
bte	歉
bto	蛔
btu	蝈
bve	所
bvi	螺
bvo	兽
bwe	关
bwi	普
bwo	送
bwu	郑
bxe	蜿
bxi	蛇
bxu	蚺
bye	朔
byi	蛟
byo	逆
byu	尊
cbe	悦
cbi	憎
cca	恼
cce	雙
cco	唇
cde	歷
cdi	曆
cfa	厉
cfi	惯
cfo	悟
cfu	厨
cge	厕
cgu	顾
che	厅
cho	懈
chu	忖
cja	惊
cje	刘
cju	壓
cke	必
cki	怀
cla	原
cle	憂
cli	怕
clo	忙
clu	願
cmi	恨
cmo	怜
cne	懦
cni	点
cno	餐
cnu	桌
cpa	怦
cpi	懂
cpo	懵
cpu	厲
cqa	惨
cqe	懊
cqo	愣
cra	驗
cre	厮
cri	怯
cru	压
cse	愕
csi	忡
csu	忸
cta	恰
cte	愜
cti	怄
cve	怖
cvi	懒
cwe	缺
cwi	雁
cwo	缸
cxa	慎
cxe	惋
cxo	惘
cyi	惱
cyo	懷
cyu	忧
dba	护
dbe	报
dbi	指
dbu	掷
dca	掉
dce	撅
dco	挤
dda	破
dde	扯
ddu	碰
dfe	挡
dfi	掙
dfu	採
dga	撰
dgo	招
dgu	撥
dhe	换
dho	括
dhu	挥
dji	担
dki	紫
dko	名
dku	接
dle	利
dli	种
dlo	秀
dlu	委
dme	抢
dmi	良
dmo	扔
dmu	郎
dna	掘
dni	据
dno	抱
dnu	杂
dpa	搭
dpe	摸
dpi	措
dpo	搔
dpu	抽
dqa	掺
dqi	摆
dqo	抬
dra	掛
dre	撕
dri	掳
dru	持
dsa	披
dse	抑
dsi	损
dsu	操
dte	扫
dti	抠
dto	拒
dtu	捆
dve	希
dvi	摞
dwa	掩
dwe	鞘
dwo	鞠
dxe	技
dxi	挖
dxu	按
dye	抗
dyi	摔
dyo	捣
dyu	扰
fba	嫌
fbi	婵
fbo	嬉
fca	婥
fce	亏
fci	焉
fco	媽
fda	殊
fde	常
fdi	死
fdu	堂
ffe	妙
ffi	嫣
ffo	姆
fge	救
fgi	妊
fgo	裘
fgu	求
fha	妳
fhi	娥
fhu	娜
fja	惡
fje	好
fji	更
fju	顽
fki	耀
fko	光
fku	尘
fla	媳
fle	武
flo	妈
fme	举
fmi	爾
fmo	奶
fni	姑
fpa	形
fpo	驽
fpu	型
fqe	奚
fqo	始
fqu	爵
fru	娃
fsa	豆
fse	副
fsi	婚
fsu	頭
fte	妇
fti	爭
fto	婀
fve	嫩
fvo	娇
fwa	恶
fwe	天
fwo	吞
fwu	亚
fxa	嫔
fxe	两
fxi	贯
fxo	嫁
fxu	再
fyi	姥
fyu	州
gba	淚
gbe	漸
gbu	滋
gca	源
gce	泌
gco	济
gcu	涯
gda	短
gde	汽
gfa	登
gfe	污
gfi	浅
gfo	淌
gga	慧
gge	测
ggi	溅
ggo	沼
gha	艳
ghi	泛
gho	活
ghu	深
gje	洗
gji	混
gjo	温
gju	湿
gka	浃
gke	清
gki	潜
gko	泪
gku	洋
gle	渡
gli	泊
glo	洛
glu	瀛
gma	潤
gme	游
gmi	沦
gmo	涌
gmu	涂
gna	忌
gni	泥
gno	海
gnu	漏
gpa	洪
gpi	汗
gpo	港
gpu	油
gqa	渗
gqe	澳
gqo	治
gra	滤
gre	淇
gri	法
gro	洁
gru	洼
gsa	波
gse	则
gsu	婆
gta	洽
gte	帮
gti	潛
gto	汇
gva	浜
gve	漱
gvi	漆
gvo	湘
gwa	淹
gwi	漕
gwo	沿
gxa	演
gxe	潮
gxu	漁
gya	潭
gye	流
gyo	滚
gyu	酒
hba	谦
hbe	说
hbo	乎
hbu	讶
hca	詹
hce	危
hco	鹤
hda	辞
hde	以
hdi	乱
hfa	尔
hga	该
hge	记
hgi	负
hgo	承
hhi	讯
hho	话
hhu	书
hja	冥
hje	谆
hji	谒
hjo	诽
hju	课
hka	谚
hki	诚
hko	可
hku	军
hlo	试
hma	诊
hmi	论
hmo	访
hmu	须
hna	悉
hne	释
hni	许
hno	谈
hpe	译
hpo	诺
hpu	谋
hqe	币
hqo	血
hre	谑
hro	装
hru	诗
hsa	识
hse	事
hsi	勉
hso	象
hsu	兔
hta	急
hte	刍
htu	邹
hve	谓
hvo	诙
hvu	诉
hwe	弱
hwo	强
hxe	读
hya	谭
hye	谛
hyi	诸
hyo	讪
hyu	训
jba	严
jbu	琊
jca	斑
jci	璃
jco	瑪
jda	影
jde	晚
jdo	晓
jfa	京
jfe	现
jfi	琐
jfo	玩
jfu	就
jgi	珉
jha	瑀
jhi	務
jho	豫
jhu	柔
jja	珠
jju	郭
jka	孩
jki	环
jko	逃
jku	琢
jle	玫
jli	珀
jlo	玛
jma	珍
jme	瑜
jmo	玲
jmu	预
jne	瑕
jni	珊
jno	琰
jpa	璜
jpe	現
jpo	襄
jqa	物
jqe	制
jqu	特
jra	闷
jre	闪
jri	间
jru	闲
jsa	玻
jse	珥
jvo	辽
jvu	琳
jwa	悲
jwe	亮
jwu	辈
jxe	琬
jxo	琮
jxu	珩
jye	瑞
jyi	璀
kbe	绊
kbi	纰
kbo	缢
kbu	编
kca	绰
kce	软
kco	轻
kda	饷
kde	饭
kdi	饿
kdu	馅
kfa	懸
kfe	缓
kfi	线
kfo	毒
kfu	绥
kga	恙
kge	美
kgi	责
kgo	善
kha	绝
khi	響
khu	鄉
kja	感
kji	成
kke	组
kki	丝
kko	辣
kku	舂
kla	练
kli	静
klo	绕
klu	將
kme	纵
kmi	绘
kmo	经
kmu	级
kni	继
kno	进
knu	专
kpe	缀
kpo	绅
kqa	疲
kqe	病
kqi	疯
kqo	痛
kqu	痒
kra	瞪
kre	睛
kru	眩
ksa	织
kse	歪
kso	还
ksu	纽
kta	给
kva	章
kve	新
kvo	站
kvu	亲
kwe	划
kwu	颊
kxa	缤
kxe	续
kxi	缩
kya	绌
kye	统
kyi	绪
kyo	缥
lba	膨
lbe	服
lbi	勝
lbo	腾
lca	脑
lco	遙
lda	禮
lde	福
ldi	礼
ldu	社
lfa	东
lfe	叔
lfi	膈
lfo	督
lfu	膛
lgi	贰
lgo	式
lha	肠
lhe	脆
lho	尧
lhu	肘
lja	望
lje	腥
lji	胆
lju	妄
lka	处
lki	务
lko	各
lku	条
lla	肫
lli	腻
llo	鹏
llu	脏
lma	脸
lme	腳
lmi	肋
lmo	腿
lna	胸
lne	腹
lpe	膜
lpi	腊
lpo	朦
lqo	胎
lra	验
lre	脚
lri	驶
lsa	皇
lse	兜
lso	迫
lsu	樂
lte	胭
lti	腱
lvi	赢
lvu	嬴
lwa	应
lwe	度
lxa	腆
lxe	脖
lxi	腫
lxu	胺
lyi	腦
lyo	膀
lyu	顿
mbe	锐
mce	兮
mco	钻
mda	念
mde	爷
mdu	领
mfa	愈
mfe	命
mfi	钱
mfu	余
mge	创
mgi	贫
mgo	盆
mhe	钉
mhi	铮
mho	铁
mhu	舒
mje	铣
mji	镐
mjo	镶
mju	钰
mka	锌
mko	链
mla	钝
mli	铂
mlo	佘
mma	慾
mmi	银
mmo	谷
mne	钧
mni	钩
mnu	钓
mpe	钳
mpi	错
mpu	钗
mqa	锣
mqe	孕
mra	悶
mre	聞
msa	锃
mse	锅
msi	钟
mso	铝
msu	钮
mte	钦
mti	键
mto	钜
mve	脅
mvo	边
mvu	架
mwa	恳
mwe	放
mwu	锻
mxa	镇
mxe	锭
mxo	铜
mxu	颈
mye	铠
myi	镝
myo	镖
myu	钏
nba	炉
nbe	箭
nbi	煽
nbu	篇
nca	與
nce	舉
nci	篱
nda	属
nde	尽
ndi	居
nfe	敏
nfi	繁
nfo	每
nga	電
nge	雪
ngi	雾
ngo	露
nhe	第
nho	迄
nhu	匆
nja	焖
nji	简
nka	舆
nke	竺
nki	笠
nko	籠
nla	炼
nle	烽
nli	燃
nlo	烧
nma	签
nme	節
nmi	簡
nmo	簇
nmu	烦
nne	删
nni	册
nnu	榮
npa	烘
npe	舞
npi	無
npu	笛
nqo	籃
nra	粉
nre	数
nri	料
nsa	够
nsi	熠
nsu	燥
nte	烟
nti	簪
nve	策
nvo	箱
nvu	笑
nwa	辜
nwe	克
nwo	笔
nwu	符
nxa	興
nxo	管
nxu	毁
nya	彤
nyi	雛
nyu	煙
pba	芦
pbe	节
pbu	芽
pca	蕊
pce	蕨
pco	芠
pcu	葉
pde	莉
pfe	观
pfo	莱
pfu	菜
pga	荡
pge	范
pgi	藉
pgo	迪
pha	菡
pho	营
phu	荣
pja	茱
pje	莫
pji	葛
pju	慕
pka	黃
pke	藏
pki	戏
pko	莲
pku	药
pla	薛
ple	散
pli	藤
plo	芒
plu	藥
pme	苍
pmi	劝
pmo	芳
pmu	茶
pna	警
pni	苦
pno	驚
pnu	葡
ppa	黄
ppi	華
ppu	桑
pqa	夢
pqi	苇
pqo	藍
pre	菱
pri	藝
pro	蓝
pse	觀
psi	勸
psu	颧
pta	萧
pte	欢
pti	蕭
pve	苗
pvo	若
pvu	茬
pwa	平
pwe	刊
pwo	荷
pxa	蘇
pxe	英
pxi	董
pxo	蓉
pxu	萬
pya	茁
pye	蒂
pyo	鸡
qdo	銘
qfe	銷
qfi	鎖
qge	幾
qgi	幻
qgo	矣
qhe	奧
qja	击
qji	罢
qjo	罪
qju	韧
qke	鏡
qki	錢
qko	錶
qle	錦
qli	能
qlo	點
qlu	墨
qme	敷
qmi	銀
qmo	鈴
qmu	颐
qna	帜
qni	帕
qno	帽
qnu	帐
qpa	豎
qpe	腎
qpi	緊
qpu	堅
qqa	參
qqi	鑫
qqo	鑑
qsa	怠
qsi	錄
qsu	鈕
qte	欽
qti	鍵
qto	鉅
qva	鍊
qwa	参
qwo	鉛
qxa	鐵
qxo	鋼
rba	赤
rbe	赦
rbi	增
rbu	郝
rca	志
rco	盐
rde	址
rfe	毐
rfi	凸
rgi	坝
rha	懿
rho	坷
rhu	寺
rja	場
rjo	壤
rju	基
rke	块
rki	城
rku	執
rle	處
rli	戲
rlo	塘
rlu	虚
rmi	熱
rmo	坊
rmu	圾
rni	临
rno	监
rnu	耐
rpa	塔
rpe	肾
rpi	紧
rpo	坤
rpu	坚
rqo	埃
rra	卦
rre	幫
rri	堪
rsa	坡
rse	臺
rsi	埙
rsu	颉
rte	坎
rtu	堰
rwe	垮
rwu	垛
rxa	填
rxi	埋
rxo	墙
rye	坑
ryi	堵
ryo	壞
ryu	圳
sba	嘭
sbe	叩
sbu	呀
sca	號
sce	号
sco	嗎
sda	哆
sde	拜
sdu	啷
sfa	乐
sfe	印
sfi	哽
sfo	吁
sfu	哑
sge	变
sgi	员
sgo	迹
she	唤
shi	哦
sho	呼
shu	哪
sji	喝
sjo	啡
ska	噫
ski	艇
sko	船
sku	般
sla	嗅
sle	咱
slo	吗
slu	邸
sme	别
smi	另
smo	啥
smu	吸
sni	呢
sno	聊
snu	颇
spa	哄
spi	哎
spo	呻
spu	嗓
sqa	嘿
sqe	吊
sqi	呦
sqo	唉
sra	忠
sre	留
ssa	哭
sse	咒
ssu	噪
sta	哈
ste	吹
sti	呕
sto	啊
stu	喲
sve	喇
svi	喳
swe	叽
swo	喉
swu	咐
sxa	嗔
sxe	呐
sxo	喃
sxu	鄙
sye	喘
syi	咬
syo	嘛
tbi	階
tbo	隊
tbu	陛
tco	紋
tda	陟
tfa	隙
tfe	緩
tfi	隔
tfo	經
tga	初
tge	紀
tgi	裡
tgo	裙
tgu	裤
tha	隐
the	繩
tho	阿
thu	陷
tja	恩
tjo	回
tju	困
tka	踢
tki	跟
tko	路
tku	跃
tli	線
tlo	拿
tlu	纏
tma	险
tmi	限
tmo	阶
tmu	除
tna	肃
tne	尹
tni	建
tno	陶
tnu	群
tqa	陆
tqi	繼
tre	陵
tri	續
tro	結
tru	陸
tse	緝
tsi	綠
tso	緣
tsu	紐
tva	練
tve	細
tvi	陳
tvu	堕
twa	匡
twe	欧
twi	区
two	医
twu	附
txe	納
txi	縮
txu	隅
tye	統
tyi	緒
vbe	梯
vbi	楷
vbu	樹
vca	朴
vce	肆
vda	柱
vde	樊
vdi	躯
vfe	柄
vfo	梧
vga	核
vge	杞
vgo	乔
vhe	材
vho	柯
vhu	村
vje	李
vjo	橘
vka	想
vki	越
vko	相
vku	在
vla	栋
vle	枚
vli	柏
vlo	格
vlu	桩
vma	思
vmi	男
vmo	界
vmu	极
vna	兵
vni	杰
vno	梅
vnu	楼
vpa	横
vpi	權
vpo	檬
vpu	树
vqe	機
vqo	楞
vre	棋
vro	槛
vsa	鬓
vse	整
vsi	赖
vsu	樓
vte	椭
vto	柜
vtu	柩
vve	楚
vvo	桥
vwe	机
vwi	枫
vwo	椅
vxe	刺
vxi	檳
vxu	棲
vye	板
vyo	標
vyu	櫻
wbe	伴
wbu	偏
wca	仆
wce	優
wci	侦
wco	佔
wda	住
wde	仇
wdi	仪
wdo	偽
wdu	伪
wfe	倒
wfi	使
wfu	俅
wga	業
wge	凭
wgi	任
wha	你
who	像
whu	付
wja	狂
wjo	件
wju	犹
wka	态
wki	位
wko	奇
wku	传
wla	黛
wle	佟
wli	伯
wlo	袋
wlu	代
wma	份
wme	偷
wmi	伦
wmo	价
wmu	段
wna	傷
wni	伤
wnu	凡
wpa	供
wpi	借
wpo	伸
wqe	傻
wqi	伟
wqo	俟
wqu	傅
wra	修
wre	攸
wru	佳
wse	仰
wsi	仲
wso	侣
wsu	保
wte	伊
wti	健
wto	儘
wtu	偃
wve	佈
wvi	体
wvo	佐
wwe	佩
wwi	飙
wxe	伎
wxo	值
wxu	偶
wye	側
wyi	佬
wyo	依
wyu	优
xbo	丧
xca	寡
xce	巧
xco	密
xcu	宸
xda	往
xde	朝
xdi	韩
xdo	宕
xfa	徵
xfi	宣
xfo	完
xga	愚
xge	割
xgo	害
xhe	卖
xhi	索
xho	彿
xhu	守
xja	熏
xji	重
xju	宝
xke	实
xki	穷
xku	穿
xla	彻
xle	攻
xlo	客
xlu	额
xma	协
xme	從
xmi	很
xmo	径
xmu	徐
xna	典
xni	网
xnu	冉
xpa	謇
xpo	审
xpu	塞
xqu	博
xru	待
xsa	彼
xso	宫
xsu	衛
xte	律
xto	徊
xtu	妻
xva	宾
xve	徒
xwa	恐
xwi	宿
xwo	寄
xxa	德
xxo	南
xxu	行
xye	宠
xyi	貢
xyo	循
yba	謙
ybe	帝
ybi	譜
ybo	商
ybu	訝
yca	出
yce	剿
yco	巡
yde	峰
ydi	岸
ydu	幽
yfo	后
yga	認
yge	醒
ygi	醉
ygo	袭
yhe	訂
yhi	訊
yho	話
yhu	討
yji	讚
yju	課
yke	請
yki	識
yku	詳
yle	收
yli	飘
ylo	票
yme	效
ymi	交
ymo	尬
ymu	論
yne	燮
yni	許
yno	調
ypa	評
ypo	返
ypu	发
yqe	市
yqi	率
yqu	玄
yra	誌
yri	魔
yru	麼
ysa	賺
yse	則
yso	貼
ysu	購
yta	戀
yte	變
yti	彎
ytu	颤
yve	教
yvi	老
ywe	亢
ywo	遷
yxe	覆
yxo	盾
yyi	諸
yyu	訓
#全码
lsnd	的
fi	一
jvi	了
jdfd	是
ksi	不
hdkw	我
vkrr	在
me	人
vkle	有
cjvo	这
whe	他
fnro	来
mri	个
whfk	你
hbsj	说
la	上
fkgk	到
jfyg	就
kgkr	着
wke	大
wjro	们
blvo	道
hqtu	那
hqi	么
he	也
rhe	地
jke	子
ha	下
ycya	出
jdhc	时
sdkr	看
yfu	要
fhe	她
sri	中
gwu	没
lwns	然
xvi	里
dmdu	为
hcvo	过
lke	自
fjke	好
xjfh	得
rqi	去
hkso	可
mkqi	会
fwke	天
ksvo	还
cka	心
yfso	后
hdme	以
fka	小
yvjt	都
dlso	和
phcu	对
vkck	想
qlbb	能
vkgn	起
vi	之
sdo	手
rne	而
sma	只
ye	生
wxi	什
vdo	身
knwk	头
vkgu	样
hstn	事
dkdk	多
gne	己
xkdo	家
rro	面
gdso	知
fpi	开
fso	如
fyo	无
jfne	现
xmwi	很
cnsn	点
blgk	前
ypdu	发
kmxo	经
ckle	情
dva	把
yvbi	老
dkbk	些
hhdo	话
ggu	已
pe	又
rndo	声
kvjc	意
fho	于
tjso	回
nvgu	笑
bvne	所
wjfi	但
krmw	眼
kjhi	成
mwo	方
nqje	年
fne	见
fktn	当
fu	女
xkma	真
fxmm	两
mvi	力
dje	气
mme	从
fo	用
jcu	长
knqm	动
jrjd	间
tjjd	国
vke	走
hla	让
tgsn	被
ktla	给
fe	正
jrso	问
dhke	打
jdle	明
je	儿
grqi	法
hhe	才
wne	几
xxcu	行
mdo	三
xfdk	定
dkbi	此
knbv	进
fxru	再
dlsr	种
hdhc	将
xkwk	实
xnfs	同
jdsp	最
vfi	本
qka	向
mga	分
xi	十
fhjk	学
jwi	高
nhrh	第
kjfc	感
ncck	怎
ldpd	神
svne	听
mvvo	边
wnco	作
rje	其
sva	吧
rqbn	却
so	口
fhfn	觉
sths	啊
tjwk	因
lsi	白
kntj	次
hkcu	军
wnlk	做
dkcn	外
jro	门
fkjj	光
wndi	风
dja	主
wdja	住
jdvu	果
cjfi	与
mja	全
kne	二
wrkg	候
mqi	公
vkro	相
slro	吗
nrhc	等
smgk	别
hva	色
fdbi	死
hwjc	张
kvst	部
wkdu	太
jdi	日
fkhe	少
cnsk	战
jxvi	理
xko	直
xjxv	重
ja	王
whsk	像
lmff	脸
bbi	比
ckme	快
whso	何
gi	水
dkso	名
wvfi	体
snbi	呢
lfka	东
syu	叫
yi	西
lwfa	应
wfjd	便
mwlk	放
lro	马
pci	难
kcmx	轻
fjdi	更
kgwk	美
wkvi	位
bwke	关
vwne	机
dkfu	接
jje	先
cjo	文
lkcn	处
bpi	并
ljlj	望
fdqn	常
xfjj	完
tjje	四
hkne	飞
bfqn	师
yvjd	者
xfu	安
gkle	清
xndg	刚
tkmw	跟
le	月
wya	信
ydo	山
fhvp	爱
xnme	内
yghe	龙
xkxo	空
phqn	带
